time,vx,vy,wz
1702623836563520.0,0.20000000298023224,0.0,-0.006501947529613972
1702623836606386.0,0.20000000298023224,0.0,-0.031186921522021294
1702623836645715.0,0.20000000298023224,0.0,-0.05108668655157089
1702623836688465.0,0.20000000298023224,0.0,-0.06593796610832214
1702623836728491.0,0.20000000298023224,0.0,-0.07632806152105331
1702623836768347.0,0.20000000298023224,0.0,-0.08680816739797592
1702623836806787.0,0.20000000298023224,0.0,-0.07274224609136581
1702623836808485.0,0.20000000298023224,0.0,-0.07274224609136581
1702623836849526.0,0.20000000298023224,0.0,-0.05351637303829193
1702623836889753.0,0.20000000298023224,0.0,-0.03428046405315399
1702623836930840.0,0.20000000298023224,0.0,-0.024730006232857704
1702623836969868.0,0.20000000298023224,0.0,-0.020022133365273476
1702623837012393.0,0.20000000298023224,0.0,-0.005424548871815205
1702623837052481.0,0.20000000298023224,0.0,-0.005473995115607977
1702623837090980.0,0.20000000298023224,0.0,-0.00552405696362257
1702623837134944.0,0.20000000298023224,0.0,-0.020352162420749664
1702623837174806.0,0.20000000298023224,0.0,-0.015613965690135956
1702623837213375.0,0.20000000298023224,0.0,-0.030542796477675438
1702623837254831.0,0.20000000298023224,0.0,-0.040656231343746185
1702623837296256.0,0.20000000298023224,0.0,-0.041047655045986176
1702623837336137.0,0.20000000298023224,0.0,-0.026660852134227753
1702623837377379.0,0.20000000298023224,0.0,-0.02692292258143425
1702623837419558.0,0.20000000298023224,0.0,-0.017333125695586205
1702623837460598.0,0.20000000298023224,0.0,0.0070479195564985275
1702623837499724.0,0.20000000298023224,0.0,0.01676161214709282
1702623837537889.0,0.20000000298023224,0.0,0.021851321682333946
1702623837579900.0,0.20000000298023224,0.0,0.012225877493619919
1702623837620913.0,0.20000000298023224,0.0,0.01235351525247097
1702623837660998.0,0.20000000298023224,0.0,0.012484962120652199
1702623837705359.0,0.20000000298023224,0.0,0.002773129614070058
1702623837741129.0,0.20000000298023224,0.0,0.002802806906402111
1702623837782567.0,0.20000000298023224,0.0,0.007761490531265736
1702623837808669.0,0.20000000298023224,0.0,0.007761490531265736
1702623837821806.0,0.20000000298023224,0.0,0.012840927578508854
1702623837863353.0,0.20000000298023224,0.0,0.012980805709958076
1702623837906675.0,0.20000000298023224,0.0,0.0032772913109511137
1702623837943425.0,0.20000000298023224,0.0,0.0180937759578228
1702623837985707.0,0.20000000298023224,0.0,0.008450626395642757
1702623838028224.0,0.20000000298023224,0.0,-0.006232564803212881
1702623838066837.0,0.20000000298023224,0.0,-0.02104436606168747
1702623838107894.0,0.20000000298023224,0.0,-0.02129531279206276
1702623838147024.0,0.20000000298023224,0.0,-0.0215609110891819
1702623838188377.0,0.20000000298023224,0.0,-0.021830476820468903
1702623838230889.0,0.20000000298023224,0.0,-0.0076515390537679195
1702623838270911.0,0.20000000298023224,0.0,0.006986103951931
1702623838312312.0,0.20000000298023224,0.0,0.016923600807785988
1702623838349284.0,0.20000000298023224,0.0,0.0023705996572971344
1702623838392179.0,0.20000000298023224,0.0,0.0024023607838898897
1702623838431289.0,0.20000000298023224,0.0,-0.012344658374786377
1702623838473296.0,0.20000000298023224,0.0,-0.007602520287036896
1702623838517251.0,0.20000000298023224,0.0,-0.022478565573692322
